DefaultSPUId,DefaultGenusId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
13,3,1.04407,0.833,11.9357,-0.95322,0.88778,2.4146,0,0,1,1,-1.68863,0.0002014,-0.02388,-1.56658,0.0003914,-0.01797,-1.13937,-0.000574,-0.14043,0.28,411.81,0.61218,0.66569,0.10871,0.11571,0.12404,0.14649,0.15506,0.07211
13,7,0.909,0.84108,2.3651,-0.41461,0.68885,1.8173,0,0,1,1,-1.90106,-0.0002236,0.00674,-1.50461,4.51e-05,0.01838,-1.18608,0.000465,-0.18453,0.44,498.37,0.62355,0.65955,0.09423,0.09193,0.14287,0.16796,0.13935,0.08056
13,8,1.01805,0.85546,5.8451,-0.74302,0.82185,2.3544,0,0,1,1,-1.48982,0.0008329,-0.11016,-1.03143,0.0009308,-0.16934,-0.72347,0.000872,-0.24868,0.24,275.4,0.56224,0.67494,0.10562,0.10285,0.15145,0.11971,0.18069,0.10249
13,9,1.02115,0.84163,13.0114,-1.0724,0.95665,2.5225,0,0,1,1,-1.41617,0.0001734,-0.05252,-1.57953,-8.08E-05,-0.02379,-1.91479,-0.001448,-0.11888,0.32,620.18,0.64891,0.72006,0.14423,0.13874,0.12851,0.12109,0.07836,0.02011
13,13,1.27211,0.82777,13.1353,-1.12674,0.97217,2.1927,0,0,1,1,-1.45192,0.0003892,-0.09604,-2.25498,-0.0011334,0.22496,-1.90142,-0.001735,-0.15536,0.28,620.18,0.68153,0.71412,0.13601,0.11468,0.10389,0.15782,0.07857,0.01337
14,1,0.89342,0.84625,7.778,-1.0055,0.9632,2.4178,0,0,1,1,-1.69756,-0.0004413,-0.01629,-1.11363,-0.0007713,-0.05521,-0.94761,-0.001812,-0.07405,0.24,147.47,0.54926,0.63105,0.0979,0.09977,0.16457,0.14012,0.18827,0.12906
14,8,0.89342,0.84625,7.778,-1.0055,0.9632,2.4178,0,0,1,1,-1.69756,-0.0004413,-0.01629,-1.11363,-0.0007713,-0.05521,-0.94761,-0.001812,-0.07405,0.24,247.27,0.54926,0.66031,0.0979,0.09908,0.16457,0.13203,0.18827,0.10858
14,13,1.27211,0.82777,13.1353,-1.12674,0.97217,2.1927,0,0,1,1,-1.45192,0.0003892,-0.09604,-2.25498,-0.0011334,0.22496,-1.90142,-0.001735,-0.15536,0.28,620.18,0.68153,0.71412,0.13601,0.11468,0.10389,0.15782,0.07857,0.01337
15,1,1.23029,0.80597,10.9979,-1.01516,0.93494,2.3249,0,0,1,1,-1.799,-7.27E-05,-0.02482,-1.3666,0.0004806,-0.09609,-0.86975,-0.000287,-0.21146,0.24,444.78,0.59827,0.70694,0.095,0.09732,0.13011,0.1241,0.17661,0.07164
15,2,1.37829,0.77967,9.3764,-1.04082,0.9728,2.0917,0,0,1,1,-2.10812,0.0005903,-0.02211,-1.7302,0.000977,-0.05046,-1.4477,-0.000111,-0.17773,0.25,835.86,0.68716,0.65715,0.08047,0.11265,0.11205,0.18764,0.12032,0.04256
